Tehsil,District,Division,Province,OOSC number ,OOSC number male ,OOSC number female ,Rural Total,Rural Male,Rural Female,Urban Total,Urban Male,Urban Female,5-16 population,All Male 5-16 population,All female 5-16population,Total Rural  5-16population,Male Rural  5-16population,Female rural  5-16population,Total Urban  5-16population,Male Urban  5-16population,Female Urban  5-16population,% OOSC 5-16 population,% OOSC All Male 5-16 population,%OOSC All female 5-16population,%OOSC Total Rural 5-16population,%OOSC Male Rural  5-16population,%OOSC Female rural  5-16population,%OOSC Total Urban  5-16population,%OOSC Male Urban  5-16population,%OOSC Female Urban  5-16population,Rank total %,Rank male%,Rank female%,Rank Rural Total%,Rank Rural Male%,Rank Rural Female%,Rank Urban Total%,Rank Urban Male%,Rank Urban Female%,In district Rank total ,In district Rank male,In district Rank female,In district Rank Rural Total,In district Rank Rural Male,In district Rank Rural Female,In district Rank Urban Total,In district Rank Urban Male,In district Rank Urban Female,Total LR,Male LR,Female LR,Rural LR,Rural Male LR,Rural Female LR,Urban LR,Urban Male LR,Urban Female LR, OOSC number  ,Rank (OOSC #)
Manjhipur ,Sohbatpur ,,Balochistan,3763,1545,2218,3763,1545,2218,0,0,0,"7,983","3,977","4,006","7,983","3,977","4,006",0,0,0,47.14%,38.85%,55.37%,47.14%,38.85%,55.37%,0.00%,0.00%,0.00%,300,283,307,239,232,239,1,1,1,2,1,3,2,1,2,1,1,1,43.85,58.49,29.13,43.85,58.49,29.13,-,-,-,"3,763",25
Panhwar ,Sohbatpur ,,Balochistan,10736,5305,5431,10736,5305,5431,0,0,0,"17,367","9,333","8,034","17,367","9,333","8,034",0,0,0,61.82%,56.84%,67.60%,61.82%,56.84%,67.60%,0.00%,0.00%,0.00%,431,458,408,362,397,332,1,1,1,5,6,5,5,6,5,1,1,1,35.38,45.25,24.58,35.38,45.25,24.58,-,-,-,"10,736",107
Saeed Muhammad Kanrani,Sohbatpur ,,Balochistan,3199,1389,1810,3199,1389,1810,0,0,0,"6,974","3,443","3,531","6,974","3,443","3,531",0,0,0,45.87%,40.34%,51.26%,45.87%,40.34%,51.26%,0.00%,0.00%,0.00%,288,305,274,228,248,215,1,1,1,1,3,1,1,3,1,1,1,1,45.9,58.14,33.57,45.9,58.14,33.57,-,-,-,"3,199",18
Sohbatpur ,Sohbatpur ,,Balochistan,11944,5415,6528,9489,4141,5347,2455,1274,1181,"24,068","12,261","11,806","17,913","9,050","8,862","6,155","3,211","2,944",49.63%,44.16%,55.29%,52.97%,45.76%,60.34%,39.89%,39.68%,40.12%,324,341,306,284,296,278,304,323,276,4,4,2,4,4,4,6,6,6,42.3,54.97,29.38,39.45,52.92,25.79,52.11,61.9,41.9,"11,944",121
Dasht E Goran ,Surab ,,Balochistan,8830,4664,4165,8830,4664,4165,0,0,0,"10,652","6,059","4,592","10,652","6,059","4,592",0,0,0,82.90%,76.98%,90.70%,82.90%,76.98%,90.70%,0.00%,0.00%,0.00%,572,570,576,533,530,536,1,1,1,4,4,4,4,4,4,1,1,1,38.85,39.49,38.10,38.85,39.49,38.1,-,-,-,"8,830",89
Gidder,Surab ,,Balochistan,20351,10140,10211,20351,10140,10211,0,0,0,"30,876","16,624","14,252","30,876","16,624","14,252",0,0,0,65.91%,61.00%,71.65%,65.91%,61.00%,71.65%,0.00%,0.00%,0.00%,470,487,445,413,434,375,1,1,1,1,1,1,1,1,1,1,1,1,36.31,43.6,28.61,36.31,43.6,28.61,-,-,-,"20,351",199
Shaheed Meharabad Zehri ,Surab ,,Balochistan,16460,7566,8894,16460,7566,8894,0,0,0,"23,393","12,131","11,262","23,393","12,131","11,262",0,0,0,70.36%,62.37%,78.97%,70.36%,62.37%,78.97%,0.00%,0.00%,0.00%,509,505,511,460,454,454,1,1,1,3,2,3,2,2,2,1,1,1,42.85,51.98,33.33,42.85,51.98,33.33,-,-,-,"16,460",164
Surab ,Surab ,,Balochistan,23786,10563,13221,17660,8026,9632,6126,2537,3589,"35,099","16,853","18,243","23,492","11,583","11,906","11,607","5,270","6,337",67.77%,62.68%,72.47%,75.17%,69.29%,80.90%,52.78%,48.14%,56.64%,485,509,450,505,507,473,358,356,352,2,3,2,3,3,3,4,4,4,34.34,43.21,25.99,26.44,33.24,19.85,47.4,60.29,35.8,"23,786",228
Basima ,Washuk ,,Balochistan,14960,8072,6887,14960,8072,6887,0,0,0,"22,630","12,778","9,851","22,630","12,778","9,851",0,0,0,66.11%,63.17%,69.91%,66.11%,63.17%,69.91%,0.00%,0.00%,0.00%,471,514,430,415,463,351,1,1,1,1,1,1,1,1,1,1,1,1,31.83,35.93,27.33,31.83,35.93,27.33,-,-,-,"14,960",148
Mashkhel ,Washuk ,,Balochistan,18736,10208,8524,18736,10208,8524,0,0,0,"25,740","15,016","10,720","25,740","15,016","10,720",0,0,0,72.79%,67.98%,79.51%,72.79%,67.98%,79.51%,0.00%,0.00%,0.00%,532,537,514,485,494,458,1,1,1,3,3,4,3,3,4,1,1,1,16.33,21.36,10.61,16.33,21.36,10.61,-,-,-,"18,736",189
Nag ,Washuk ,,Balochistan,16735,8828,7904,16735,8828,7904,0,0,0,"22,746","12,678","10,065","22,746","12,678","10,065",0,0,0,73.57%,69.63%,78.53%,73.57%,69.63%,78.53%,0.00%,0.00%,0.00%,535,550,508,490,510,452,1,1,1,4,4,3,4,4,3,1,1,1,18.02,22.81,12.50,18.02,22.81,12.5,-,-,-,"16,735",170
Shaogari ,Washuk ,,Balochistan,18302,9440,8862,18302,9440,8862,0,0,0,"25,565","14,189","11,376","25,565","14,189","11,376",0,0,0,71.59%,66.53%,77.90%,71.59%,66.53%,77.90%,0.00%,0.00%,0.00%,521,530,503,471,486,447,1,1,1,2,2,2,2,2,2,1,1,1,23.55,29.6,16.58,23.55,29.6,16.58,-,-,-,"18,302",186
Washuk ,Washuk ,,Balochistan,15277,7682,7595,4131,2134,1997,11146,5548,5598,"20,116","10,901","9,215","5,464","2,989","2,475","14,652","7,912","6,740",75.94%,70.47%,82.42%,75.60%,71.40%,80.69%,76.07%,70.12%,83.06%,551,554,533,507,513,471,379,378,379,5,5,5,5,5,5,5,5,5,18.1,24.35,11.39,13.82,19.34,7.7,19.65,26.21,12.69,"15,277",153
Ashwat,Zhob ,,Balochistan,7670,3966,3704,7670,3966,3704,0,0,0,"11,228","6,280","4,948","11,228","6,280","4,948",0,0,0,68.31%,63.15%,74.86%,68.31%,63.15%,74.86%,0.00%,0.00%,0.00%,492,513,473,440,462,410,1,1,1,4,4,4,4,4,4,1,1,1,14.51,19.82,8.48,14.51,19.82,8.48,-,-,-,"7,670",80
Kakar Khurasan ,Zhob ,,Balochistan,3078,1408,1670,3078,1408,1670,0,0,0,"5,374","2,869","2,505","5,374","2,869","2,505",0,0,0,57.28%,49.08%,66.67%,57.28%,49.08%,66.67%,0.00%,0.00%,0.00%,391,386,396,321,322,322,1,1,1,2,2,2,2,1,2,1,1,1,21.5,32.36,9.75,21.5,32.36,9.75,-,-,-,"3,078",15
Kashatoo ,Zhob ,,Balochistan,1543,743,800,1543,743,800,0,0,0,"2,215","1,170","1,045","2,215","1,170","1,045",0,0,0,69.66%,63.50%,76.56%,69.66%,63.50%,76.56%,0.00%,0.00%,0.00%,503,518,494,451,465,429,1,1,1,5,5,5,5,5,5,1,1,1,9.64,15.43,4.16,9.64,15.43,4.16,-,-,-,"1,543",2
Sambaza ,Zhob ,,Balochistan,7017,3989,3027,7017,3989,3027,0,0,0,"10,730","6,652","4,077","10,730","6,652","4,077",0,0,0,65.40%,59.97%,74.25%,65.40%,59.97%,74.25%,0.00%,0.00%,0.00%,467,478,465,402,425,401,1,1,1,3,3,3,3,3,3,1,1,1,21.65,24.93,16.90,21.65,24.93,16.9,-,-,-,"7,017",69
Zhob,Zhob ,,Balochistan,54341,26889,27450,50250,24724,25524,4091,2165,1926,"105,906","58,508","47,395","90,018","49,534","40,481","15,888","8,974","6,914",51.31%,45.96%,57.92%,55.82%,49.91%,63.05%,25.75%,24.13%,27.86%,343,361,327,311,329,293,190,192,188,1,1,1,1,2,1,5,5,5,41.27,50.71,30.66,35.33,44.32,25.32,70.18,81,57.43,"54,341",426
Sinjawi ,Ziarat ,,Balochistan,29608,14639,14964,19085,9156,9925,10523,5483,5039,"43,024","22,443","20,576","25,046","13,254","11,788","17,978","9,189","8,788",68.82%,65.23%,72.73%,76.20%,69.08%,84.20%,58.53%,59.67%,57.34%,496,525,453,509,502,499,369,373,358,2,2,2,2,2,2,2,2,2,35.88,43.68,27.30,29.07,36.12,21.18,45.65,54.76,35.89,"29,608",276
Ziarat ,Ziarat ,,Balochistan,13960,6142,7818,13467,5899,7568,493,243,250,"27,427","13,704","13,722","26,218","13,097","13,121","1,209",607,601,50.90%,44.82%,56.97%,51.37%,45.04%,57.68%,40.78%,40.03%,41.60%,336,348,317,272,287,260,308,327,289,1,1,1,1,1,1,1,1,1,54.2,67.94,41.65,53.37,67.23,40.72,67.86,79.57,57.01,"13,960",142
Islamabad ,Islamabad ,,ISLAMABAD CAPITAL TERRITORY,89127,47849,41275,43672,23415,20256,45455,24434,21019,"591,703","312,921","278,773","321,116","167,805","153,309","270,587","145,116","125,464",15.06%,15.29%,14.81%,13.60%,13.95%,13.21%,16.80%,16.84%,16.75%,32,34,24,24,30,19,63,63,70,1,1,1,1,1,1,1,1,1,83.97,88.23,79.13,84.88,89.13,80.16,82.91,87.19,77.87,"89,127",526
Badin ,Badin,,Sindh,"95,608","44,716","50,887","77,016","36,767","40,245","18,592","7,949","10,642","155,999","82,717","73,277","112,883","60,337","52,542","43,116","22,380","20,735",61.29%,54.06%,69.44%,68.23%,60.94%,76.60%,43.12%,35.52%,51.32%,428,441,425,439,433,432,322,307,335,4,4,3,4,4,4,4,4,4,37.7,48,26.45,30.76,41.23,19.26,53.75,63.78,42.93,"95,608",538
Shaheed Fazil Rahu,Badin,,Sindh,"87,366","42,337","45,029","77,958","37,887","40,071","9,408","4,450","4,958","123,523","66,308","57,215","104,997","56,359","48,638","18,526","9,949","8,577",70.73%,63.85%,78.70%,74.25%,67.22%,82.39%,50.78%,44.73%,57.81%,514,519,509,495,490,485,352,346,360,5,5,5,5,5,5,5,5,5,33.5,41.45,24.83,30.94,38.84,22.31,47.1,55.27,38.19,"87,366",521
Matli ,Badin,,Sindh,"81,716","36,136","45,574","68,434","30,377","38,051","13,282","5,759","7,523","147,604","78,019","69,579","115,334","61,195","54,133","32,270","16,824","15,446",55.36%,46.32%,65.50%,59.34%,49.64%,70.29%,41.16%,34.23%,48.71%,371,363,379,336,327,355,313,301,325,1,1,1,1,1,1,3,3,3,39.32,49.9,27.9,32.77,44.03,20.62,58.88,67.35,49.7,"81,716",507
Talhar ,Badin,,Sindh,"34,909","16,085","18,822","29,150","13,565","15,583","5,759","2,520","3,239","58,786","30,953","27,830","44,587","23,563","21,021","14,199","7,390","6,809",59.38%,51.97%,67.63%,65.38%,57.57%,74.13%,40.56%,34.10%,47.57%,406,421,409,401,402,399,307,298,320,2,3,2,3,3,3,2,2,2,34.16,43.2,24.5,28.07,37.73,17.71,50.19,57.73,42.24,"34,909",320
Tando Bago ,Badin,,Sindh,"81,785","37,407","44,374","73,499","33,911","39,584","8,286","3,496","4,790","136,536","72,988","63,543","115,268","61,828","53,435","21,268","11,160","10,108",59.90%,51.25%,69.83%,63.76%,54.85%,74.08%,38.96%,31.33%,47.39%,410,408,429,385,377,398,297,274,318,3,2,4,2,2,2,1,1,1,36.17,46.5,24.99,32.82,43.2,21.54,52.52,62.66,41.67,"81,785",509
Dadu ,Dadu,,Sindh,"65,033","28,925","36,107","50,363","22,287","28,076","14,670","6,638","8,031","160,268","80,274","79,992","100,653","50,410","50,242","59,615","29,864","29,750",40.58%,36.03%,45.14%,50.04%,44.21%,55.88%,24.61%,22.23%,26.99%,246,258,237,257,280,244,176,160,180,1,1,1,1,1,1,1,1,1,64.39,72.08,56.44,55.14,63.28,46.65,77.83,84.99,70.51,"65,033",463
Johi ,Dadu,,Sindh,"62,528","29,307","33,216","59,233","27,734","31,495","3,295","1,573","1,721","109,800","56,656","53,138","97,288","50,199","47,084","12,512","6,457","6,054",56.95%,51.73%,62.51%,60.88%,55.25%,66.89%,26.33%,24.36%,28.43%,385,416,364,352,383,326,198,196,192,4,4,4,4,4,4,2,3,2,30.25,38.28,21.81,27.16,34.99,18.9,52.82,62.74,42.72,"62,528",455
Khairpur Nathan Shah ,Dadu,,Sindh,"57,881","26,413","31,465","50,676","23,212","27,461","7,205","3,201","4,004","123,504","62,361","61,140","97,021","49,212","47,806","26,483","13,149","13,334",46.87%,42.35%,51.46%,52.23%,47.17%,57.44%,27.21%,24.34%,30.03%,298,326,278,279,303,256,209,194,208,2,2,2,2,2,2,3,2,4,43.42,52.38,34.15,38.76,47.61,29.55,59.22,68.85,49.53,"57,881",441
Mehar ,Dadu,,Sindh,"82,389","38,357","44,030","72,737","33,813","38,924","9,652","4,544","5,106","170,760","86,836","83,922","135,523","69,129","66,394","35,237","17,707","17,528",48.25%,44.17%,52.47%,53.67%,48.91%,58.63%,27.39%,25.66%,29.13%,309,343,287,290,320,269,213,212,197,3,3,3,3,3,3,4,4,3,43.05,51.15,34.69,37.89,45.96,29.45,60.55,69.21,52,"82,389",512
Daharki ,Ghotki,,Sindh,"63,385","27,773","35,611","53,297","23,116","30,180","10,088","4,657","5,431","108,475","57,597","50,877","81,326","43,350","37,975","27,149","14,247","12,902",58.43%,48.22%,69.99%,65.54%,53.32%,79.47%,37.16%,32.69%,42.09%,397,380,432,407,361,457,287,285,292,4,5,4,5,5,5,4,4,4,36.84,48.86,23.72,29.4,42.39,15.19,55.27,65,44.74,"63,385",459
Ghotki ,Ghotki,,Sindh,"91,701","38,228","53,471","78,313","32,314","45,997","13,388","5,914","7,474","174,019","91,594","82,423","135,387","71,308","64,077","38,632","20,286","18,346",52.70%,41.74%,64.87%,57.84%,45.32%,71.78%,34.66%,29.15%,40.74%,351,319,375,323,292,379,271,255,283,2,2,1,2,2,2,2,2,2,45.96,60.67,30.03,40.84,56.57,23.75,60.94,72.74,48.3,"91,701",530
Khangarh ,Ghotki,,Sindh,"28,307","11,521","16,786","23,290","9,352","13,938","5,017","2,169","2,848","53,941","28,378","25,562","43,163","22,733","20,429","10,778","5,645","5,133",52.48%,40.60%,65.67%,53.96%,41.14%,68.23%,46.55%,38.42%,55.48%,349,310,383,295,252,335,336,316,346,1,1,2,1,1,1,5,5,5,39.01,54.35,22.5,37.51,52.86,20.85,44.84,60.22,28.78,"28,307",266
Mirpur Mathelo ,Ghotki,,Sindh,"63,323","26,825","36,496","56,314","23,843","32,469","7,009","2,982","4,027","114,405","60,549","53,854","92,594","48,984","43,608","21,811","11,565","10,246",55.35%,44.30%,67.77%,60.82%,48.68%,74.46%,32.14%,25.78%,39.30%,370,345,411,351,315,406,255,214,271,3,3,3,3,3,3,1,1,1,42.66,56.55,27.7,37.61,51.23,22.97,59.63,74.41,43.65,"63,323",458
Ubauro ,Ghotki,,Sindh,"73,763","30,995","42,764","67,964","28,473","39,487","5,799","2,522","3,277","125,770","66,750","59,016","109,454","58,275","51,175","16,316","8,475","7,841",58.65%,46.43%,72.46%,62.09%,48.86%,77.16%,35.54%,29.76%,41.79%,400,365,449,365,319,436,275,259,291,5,4,5,4,4,4,3,3,3,38.39,52.41,23.17,34.98,49.49,19.17,58.4,69.75,46.34,"73,763",490
Hyderabad City ,Hyderabad,,Sindh,"54,176","28,792","25,381",0,0,0,"54,176","28,792","25,381","197,050","103,102","93,943",0,0,0,"197,050","103,102","93,943",27.49%,27.93%,27.02%,0.00%,0.00%,0.00%,27.49%,27.93%,27.02%,149,199,119,1,1,1,214,237,181,2,2,1,1,1,1,2,2,1,73.74,75.48,71.77,-,-,-,73.74,75.48,71.77,"54,176",425
Hyderabad ,Hyderabad,,Sindh,"72,017","36,504","35,507","63,443","32,149","31,290","8,574","4,355","4,217","151,940","81,931","70,002","124,535","67,333","57,198","27,405","14,598","12,804",47.40%,44.55%,50.72%,50.94%,47.75%,54.70%,31.29%,29.83%,32.94%,302,347,269,264,309,233,246,262,229,4,4,4,4,4,4,3,3,3,42.57,49.91,34.37,37.1,44.56,28.81,63.25,70,55.61,"72,017",484
Latifabad ,Hyderabad,,Sindh,"51,334","26,419","24,912",0,0,0,"51,334","26,419","24,912","188,372","99,815","88,553",0,0,0,"188,372","99,815","88,553",27.25%,26.47%,28.13%,0.00%,0.00%,0.00%,27.25%,26.47%,28.13%,145,185,125,1,1,1,210,221,190,1,1,2,1,1,1,1,1,2,74.04,76.85,70.9,-,-,-,74.04,76.85,70.9,"51,334",412
Qasimabad ,Hyderabad,,Sindh,"33,925","18,995","14,928",0,0,0,"33,925","18,995","14,928","97,665","54,540","43,123",0,0,0,"97,665","54,540","43,123",34.74%,34.83%,34.62%,0.00%,0.00%,0.00%,34.74%,34.83%,34.62%,204,250,174,1,1,1,272,304,240,3,3,3,1,1,1,4,4,4,71.32,75.78,65.97,-,-,-,71.32,75.78,65.97,"33,925",309
Garhi Khairo ,Jacobabad,,Sindh,"43,980","19,449","24,526","41,937","18,457","23,479","2,043",992,"1,047","72,134","36,599","35,530","65,176","33,077","32,098","6,958","3,522","3,432",60.97%,53.14%,69.03%,64.34%,55.80%,73.15%,29.36%,28.17%,30.51%,423,430,419,391,386,387,224,242,211,2,2,2,1,1,1,1,1,1,45.58,54.72,36.46,41.49,50.87,32.15,79.96,87.08,72.83,"43,980",381
Jacobabad ,Jacobabad,,Sindh,"88,290","39,087","49,199","62,637","28,370","34,266","25,653","10,717","14,933","154,180","77,857","76,317","85,216","43,782","41,433","68,964","34,075","34,884",57.26%,50.20%,64.47%,73.50%,64.80%,82.70%,37.20%,31.45%,42.81%,390,398,372,489,479,489,288,276,299,1,1,1,3,3,3,2,2,2,45.47,55.69,35.05,28.1,37.26,18.75,62.1,73.32,50.66,"88,290",523
Thul ,Jacobabad,,Sindh,"124,903","57,289","67,611","104,030","47,893","56,135","20,873","9,396","11,476","188,476","97,949","90,524","145,661","75,967","69,692","42,815","21,982","20,832",66.27%,58.49%,74.69%,71.42%,63.04%,80.55%,48.75%,42.74%,55.09%,474,468,469,467,460,468,341,341,345,3,3,3,2,2,2,3,3,3,38.53,47.44,29.18,32.15,40.6,23.22,59.82,70.71,48.73,"124,903",564
Kotri ,Jamshoro,,Sindh,"56,348","28,795","27,551","17,756","8,943","8,813","38,592","19,852","18,738","139,908","71,088","68,817","32,711","17,007","15,704","107,197","54,081","53,113",40.28%,40.51%,40.04%,54.28%,52.58%,56.12%,36.00%,36.71%,35.28%,243,309,205,298,350,246,279,311,246,1,1,1,1,1,1,3,4,3,57.5,64.55,49.81,43.12,50.86,34.25,61.61,68.57,54.12,"56,348",433
Manjhand ,Jamshoro,,Sindh,"30,813","15,420","15,393","28,704","14,319","14,385","2,109","1,101","1,008","52,871","27,877","24,994","46,589","24,691","21,898","6,282","3,186","3,096",58.28%,55.31%,61.59%,61.61%,57.99%,65.69%,33.57%,34.56%,32.56%,395,449,358,359,407,316,264,302,225,3,3,3,3,3,3,2,2,2,35.19,42.47,27.23,31.59,38.79,23.65,57.21,65.72,48.41,"30,813",285
Sehwan Sharif,Jamshoro,,Sindh,"51,349","25,291","26,055","37,836","18,385","19,450","13,513","6,906","6,605","103,240","53,847","49,389","66,151","34,808","31,341","37,089","19,039","18,048",49.74%,46.97%,52.75%,57.20%,52.82%,62.06%,36.43%,36.27%,36.60%,326,369,288,319,354,285,282,309,258,2,2,2,2,2,2,4,3,4,41.91,50.93,32.25,32.37,42.07,21.98,57.34,65.28,48.87,"51,349",413
Thano Bula Khan ,Jamshoro,,Sindh,"30,913","15,515","15,397","30,292","15,166","15,125",621,349,272,"48,353","25,019","23,333","44,042","22,749","21,292","4,311","2,270","2,041",63.93%,62.01%,65.99%,68.78%,66.67%,71.04%,14.41%,15.37%,13.33%,456,500,386,443,487,368,36,44,35,4,4,4,4,4,4,1,1,1,55.19,60.37,49.6,50.81,55.99,45.21,87.24,92.57,81.56,"30,913",287
Qambar Ali Khan ,Kambar Shahdad Kot,,Sindh,"84,428","40,966","43,460","67,951","32,824","35,125","16,477","8,142","8,335","150,904","81,056","69,845","114,198","61,646","52,550","36,706","19,410","17,295",55.95%,50.54%,62.22%,59.50%,53.25%,66.84%,44.89%,41.95%,48.19%,376,401,361,338,356,325,330,336,322,4,4,4,4,3,4,5,5,5,39.36,48.17,29.68,35.79,44.53,26.13,49.62,58.75,39.77,"84,428",517
Meero Khan ,Kambar Shahdad Kot,,Sindh,"36,729","17,879","18,850","30,053","14,654","15,399","6,676","3,225","3,451","62,729","33,973","28,756","46,883","25,469","21,414","15,846","8,504","7,342",58.55%,52.63%,65.55%,64.10%,57.54%,71.91%,42.13%,37.92%,47.00%,399,425,380,388,401,382,316,314,317,6,6,6,5,5,6,3,3,4,33.41,43.63,22.39,29.13,38.75,18.71,45.38,57.42,32.58,"36,729",334
Nasir Abad ,Kambar Shahdad Kot,,Sindh,"27,467","13,085","14,381","22,500","10,577","11,922","4,967","2,508","2,459","56,046","29,625","26,420","44,484","23,480","21,003","11,562","6,145","5,417",49.01%,44.17%,54.43%,50.58%,45.05%,56.76%,42.96%,40.81%,45.39%,318,342,301,261,288,251,321,332,310,1,1,1,1,1,1,4,4,3,41.81,51.06,31.71,38.62,47.95,28.45,52.91,61.85,43.09,"27,467",255
Qubo Saeed Khan ,Kambar Shahdad Kot,,Sindh,"21,844","10,469","11,374","16,452","7,876","8,576","5,392","2,593","2,798","34,050","18,141","15,907","23,596","12,608","10,988","10,454","5,533","4,919",64.15%,57.71%,71.50%,69.72%,62.47%,78.05%,51.58%,46.86%,56.88%,460,461,444,452,455,449,353,350,355,7,7,7,7,7,7,7,6,7,26.46,36.19,16.13,21.38,30.5,11.72,37.22,48.19,25.51,"21,844",214
Shahdad Kot ,Kambar Shahdad Kot,,Sindh,"37,147","18,233","18,912","23,159","11,518","11,639","13,988","6,715","7,273","72,087","38,105","33,979","35,362","18,865","16,495","36,725","19,240","17,484",51.53%,47.85%,55.66%,65.49%,61.05%,70.56%,38.09%,34.90%,41.60%,346,376,309,406,436,363,294,305,290,2,2,2,6,6,5,2,2,2,47.06,54.88,38.65,32.58,39.67,24.9,58.83,67.28,49.76,"37,147",337
Sijawal Junejo ,Kambar Shahdad Kot,,Sindh,"25,352","11,945","13,405","25,352","11,945","13,405",0,0,0,"45,513","24,229","21,282","45,513","24,229","21,282",0,0,0,55.70%,49.30%,62.99%,55.70%,49.30%,62.99%,0.00%,0.00%,0.00%,374,390,366,310,324,290,1,1,1,3,3,5,2,2,2,1,1,1,37.66,47.14,27.44,37.66,47.14,27.44,-,-,-,"25,352",242
Warah ,Kambar Shahdad Kot,,Sindh,"47,589","23,278","24,310","35,550","17,327","18,222","12,039","5,951","6,088","84,674","45,051","39,622","60,774","32,526","28,247","23,900","12,525","11,375",56.20%,51.67%,61.35%,58.50%,53.27%,64.51%,50.37%,47.51%,53.52%,377,412,355,327,357,305,349,354,339,5,5,3,3,4,3,6,7,6,44.25,52.67,35.2,43.01,51.89,33.43,47.2,54.54,39.37,"47,589",401
Gulberg Town,Karachi Central,,Sindh,"26,410","14,699","11,704",0,0,0,"26,410","14,699","11,704","137,136","72,353","64,774",0,0,0,"137,136","72,353","64,774",19.26%,20.32%,18.07%,0.00%,0.00%,0.00%,19.26%,20.32%,18.07%,57,88,47,1,1,1,99,126,91,1,1,1,1,1,1,1,1,1,89.92,89.41,90.51,-,-,-,89.92,89.41,90.51,"26,410",250
Liaqatabad Town ,Karachi Central,,Sindh,"30,842","17,499","13,342",0,0,0,"30,842","17,499","13,342","139,435","72,981","66,452",0,0,0,"139,435","72,981","66,452",22.12%,23.98%,20.08%,0.00%,0.00%,0.00%,22.12%,23.98%,20.08%,88,147,65,1,1,1,146,191,114,3,3,3,1,1,1,3,3,3,83.69,83.4,84.04,-,-,-,83.69,83.4,84.04,"30,842",286
Nazimabad Town,Karachi Central,,Sindh,"36,036","20,272","15,758",0,0,0,"36,036","20,272","15,758","153,720","83,226","70,486",0,0,0,"153,720","83,226","70,486",23.44%,24.36%,22.36%,0.00%,0.00%,0.00%,23.44%,24.36%,22.36%,108,154,91,1,1,1,164,195,148,4,4,4,1,1,1,4,4,4,84.73,85.68,83.66,-,-,-,84.73,85.68,83.66,"36,036",328
New Karachi Town,Karachi Central,,Sindh,"83,134","46,033","37,090",0,0,0,"83,134","46,033","37,090","319,521","166,915","152,593",0,0,0,"319,521","166,915","152,593",26.02%,27.58%,24.31%,0.00%,0.00%,0.00%,26.02%,27.58%,24.31%,129,195,103,1,1,1,196,233,165,5,5,5,1,1,1,5,5,5,79.82,79.92,79.72,-,-,-,79.82,79.92,79.72,"83,134",513
North Nazimabad Town,Karachi Central,,Sindh,"46,403","25,685","20,709",0,0,0,"46,403","25,685","20,709","233,463","125,810","107,641",0,0,0,"233,463","125,810","107,641",19.88%,20.42%,19.24%,0.00%,0.00%,0.00%,19.88%,20.42%,19.24%,62,90,58,1,1,1,110,128,103,2,2,2,1,1,1,2,2,2,83.01,83.84,82.1,-,-,-,83.01,83.84,82.1,"46,403",395
Ferozabad ,Karachi East,,Sindh,"76,438","45,048","31,371",0,0,0,"76,438","45,048","31,371","312,889","167,240","145,628",0,0,0,"312,889","167,240","145,628",24.43%,26.94%,21.54%,0.00%,0.00%,0.00%,24.43%,26.94%,21.54%,114,189,80,1,1,1,175,227,137,3,3,3,1,1,1,3,3,3,83.02,84.04,81.82,-,-,-,83.02,84.04,81.82,"76,438",494
Gulshan Iqbal Town ,Karachi East,,Sindh,"42,660","23,728","18,927",0,0,0,"42,660","23,728","18,927","234,080","122,746","111,326",0,0,0,"234,080","122,746","111,326",18.22%,19.33%,17.00%,0.00%,0.00%,0.00%,18.22%,19.33%,17.00%,48,72,40,1,1,1,83,108,78,1,1,1,1,1,1,1,1,1,89.18,90.26,88.01,-,-,-,89.18,90.26,88.01,"42,660",371
Gulzar-E-Hijri ,Karachi East,,Sindh,"131,820","77,966","53,849",0,0,0,"131,820","77,966","53,849","328,911","178,170","150,735",0,0,0,"328,911","178,170","150,735",40.08%,43.76%,35.72%,0.00%,0.00%,0.00%,40.08%,43.76%,35.72%,242,338,181,1,1,1,305,344,251,4,4,4,1,1,1,4,4,4,64.74,67.05,62.02,-,-,-,64.74,67.05,62.02,"131,820",566
Jamshaid Town,Karachi East,,Sindh,"35,121","19,635","15,485",0,0,0,"35,121","19,635","15,485","169,982","90,294","79,686",0,0,0,"169,982","90,294","79,686",20.66%,21.75%,19.43%,0.00%,0.00%,0.00%,20.66%,21.75%,19.43%,71,111,59,1,1,1,126,154,105,2,2,2,1,1,1,2,2,2,85.99,86.75,85.13,-,-,-,85.99,86.75,85.13,"35,121",323
Aram Bagh Sub-Division,Karachi South,,Sindh,"13,171","7,092","6,079",0,0,0,"13,171","7,092","6,079","62,901","33,548","29,353",0,0,0,"62,901","33,548","29,353",20.94%,21.14%,20.71%,0.00%,0.00%,0.00%,20.94%,21.14%,20.71%,74,103,70,1,1,1,130,143,127,2,3,1,1,1,1,2,3,1,86.43,86.96,85.8,-,-,-,86.43,86.96,85.8,"13,171",129
Civil Lines Sub-Division,Karachi South,,Sindh,"24,638","12,089","12,545",0,0,0,"24,638","12,089","12,545","107,758","57,654","50,099",0,0,0,"107,758","57,654","50,099",22.86%,20.97%,25.04%,0.00%,0.00%,0.00%,22.86%,20.97%,25.04%,99,101,108,1,1,1,153,141,171,3,2,4,1,1,1,3,2,4,84.75,86.44,82.64,-,-,-,84.75,86.44,82.64,"24,638",238
