Tehsil
korak jhao
yak machh
chaman saddar
baiker
malam
pir koh
qadirabad
sangsillah
luni
talao
thal chutyali
khoast
mirpur
gazg
johan
balnigore
hoshab
zamoran
patkain
aranji
gresha
karakh
ornach
saroona
badini
kan mehtarzai
loiband
shinki
grisani
khad kocha
tiyar essot
toisar
zimri plaseen
baba kot
landhi
mir hassan khosa
dak
kallag
bostan
nana sahib
kuchlak
sariab
kot mandai
sangan
faridabad
hair din
manjhipur
panhwar
saeed muhammad kanrani
dasht e goran
gidder
shaheed meharabad zehri
ashwat
kashatoo
sambaza
nazimabad town
ferozabad
gulzar-e-hijri
aram bagh sub-division
civil lines sub-division
baldia
keamari
mauripur
site sub-division
model colony
ibrahim hydri
murad memon
shah mureed
khanpur-i
chagharzai
gadezai
ghazni khel
badhber tehsil (town-ii)
shah alam tehsil (town-i)
shaktoi
daur mera
bahawalpur saddar tehsil
lawa
gujranwala saddar tehsil
model town
raiwind
shalimar
chowk sarwar shaheed
""
""
""
